crsid,course,duration,created_at,updated_at,college_id,last_updated_by_id
2155,BHM,4,,,1,
2617,DIP PRODUCTION ,3,,,2,
2685,DIP AUTO LE ,2,,,2,
3511,AME B 1.3,2,,,3,
3896,DIP PROD LE ,2,,,2,
4411,DIP CIVIL LE ,2,,,2,
4549,BSC AME ,3,,,4,
4893,DIP PHARMACY,2,,,2,
5642,BSC FORESTRY,4,,,1,
5757,MSC AGRONOMY ,2,,,1,
6476,MSC EVS,2,,,1,
6526,B COM,3,,,1,
6527,MSC MICROBIOLOGY,2,,,1,
6543,MSC PHYSICS,2,,,1,
6561,BSC BIOTECH ,3,,,1,
6742,MSC BOTANY ,2,,,1,
7291,MSC GENETICS & PLANT BREEDING,2,,,4,
7492,BCA,3,,,1,
7679,MSC MATHS,2,,,1,
7895,MSC HORTICULTURE,2,,,4,
8614,MSC CHEMISTRY ,2,,,1,
8859,BSC IT ,3,,,1,
9266,MSC BIOTECH ,2,,,1,
9293,BBA,3,,,1,
9323,DIP HM CATERING,3,,,2,
9422,MSC ZOOLOGY ,2,,,1,
9825,DIP AUTOMOBILE,3,,,2,
9915,DIP CIVIL ,3,,,2,
9978,MSC SOIL SCIENCE,2,,,4,
9979,AME B 1.1,2,,,3,
9980,AME B 2,2,,,3,
9982,B PHARMA ,4,,,5,
9983,AME B 1.2,2,,,3,
9984,BBA AVIATION,4,,,4,
009, AME  A1,1,2024-05-21 07:57:48.246777+00:00,,3,
8873,B.Sc.(Hons.) Agri,4,,2024-08-27 06:13:47.709957+00:00,1,2.0
9001,B.TECH AERO,4,2025-03-18 09:58:52.311003+00:00,2025-03-18 10:39:31.033794+00:00,5,2.0
2,B.TECH & AME B2,4,2025-05-02 08:40:12.021910+00:00,2025-05-02 08:40:12.021936+00:00,6,2.0
9002,B.TECH CS (AI&ML),4,2025-03-18 10:00:55.697589+00:00,2025-05-02 08:41:06.470134+00:00,5,2.0
9003,B TECH  CS (Data Science),4,2025-03-18 10:05:20.542897+00:00,2025-05-02 08:41:21.810817+00:00,5,2.0
1,B.TECH &. AME B1.1,4,2025-05-02 07:38:03.682431+00:00,2025-05-07 06:31:30.252414+00:00,6,2.0
3,B.TECH & AME B 1.2,4,2025-05-07 06:32:52.791956+00:00,2025-05-07 06:32:52.791978+00:00,6,2.0
4,B.TECH & AME B 1.3,4,2025-05-07 06:33:58.235278+00:00,2025-05-07 06:33:58.235301+00:00,6,2.0
3800,DIP PROD LE,2,2025-05-28 07:56:57.423165+00:00,2025-05-28 07:56:57.423182+00:00,2,2.0
